case_id,concept,osi_layer,severity,symptom,evidence_command,evidence_output,next_command,fix,verification
ASE01,VLAN,Layer 2,Medium,PC1 cannot communicate with VLAN 10 devices,show vlan brief,"Fa0/1 is assigned to VLAN 20 but PC1 should be in VLAN 10",show vlan brief,"interface fa0/1;switchport access vlan 10",PC1 communicates with VLAN 10 devices
ASE02,VLAN,Layer 2,High,Devices cannot access VLAN 10,show vlan brief,"VLAN 10 is not listed on the switch",show vlan brief,"vlan 10;name USERS",VLAN 10 appears in show vlan brief
ASE03,VLAN Trunk,Layer 2,High,VLAN 10 traffic is not passing between switches,show interfaces trunk,"VLAN 10 is not in the allowed VLAN list",show interfaces trunk,"interface g0/1;switchport trunk allowed vlan add 10",VLAN 10 traffic passes across the trunk
ASE04,Switch Port,Layer 2,High,PC has no network connectivity,show interfaces status,"Fa0/1 is administratively down",show interfaces status,"interface fa0/1;no shutdown",Interface status becomes connected
ASE05,Gateway,Layer 3,High,PC cannot reach remote network,ipconfig,"Default gateway is configured as 192.168.1.254 instead of 192.168.1.1",show ip route,"Configure the correct default gateway 192.168.1.1",PC can reach the remote network
ASE06,Subnet Mask,Layer 3,High,PC cannot communicate with local devices,ipconfig,"PC uses 255.255.0.0 while the network requires 255.255.255.0",ipconfig,"Change subnet mask to 255.255.255.0",PC communicates with local devices
ASE07,IP Address,Layer 3,High,Intermittent connectivity is observed,arp -a,"Two different MAC addresses are associated with the same IP address",arp -a,"Assign a unique IP address to the conflicting device",Only one device uses the IP address
ASE08,Static IP,Layer 3,Medium,PC cannot communicate with the expected subnet,ipconfig,"PC has 192.168.20.10 but it should use the 192.168.10.0/24 network",ipconfig,"Change the IP address to a valid 192.168.10.0/24 address",PC receives the correct network configuration
ASE09,DHCP,Layer 3,High,Client receives no valid IP address,ipconfig,"Client receives an APIPA address 169.254.x.x and DHCP pool is absent",show ip dhcp pool,"Create the required DHCP pool",Client receives a valid DHCP address
ASE10,DHCP,Layer 3,High,New clients cannot obtain IP addresses,show ip dhcp pool,"DHCP pool shows 0 available addresses",show ip dhcp pool,"Expand the DHCP address pool or remove unnecessary exclusions",Clients obtain available IP addresses
